epoch,MAE,MSE
1,667.5435629272461,786787.48875
2,648.2686352539063,757761.9525
3,648.5869720458984,762343.979375
4,651.3552447509766,764162.0178125
5,661.5286169433593,784954.24375
6,646.0154122924805,756073.5921875
7,644.5701583862304,760405.0959375
8,631.0666537475586,737747.844375
9,605.0941424560547,690248.53375
10,615.5886001586914,706413.19375
11,629.9861459350586,731187.3621875
12,615.2931277465821,709006.9659375
13,614.7718481445313,722088.45
14,604.306004333496,696825.1509375
15,615.341799621582,716661.0446875
16,599.2076065063477,685883.6590625
17,603.267961730957,696185.51046875
18,610.4152990722656,709592.0403125
19,580.2938473510742,655858.7221875
20,583.9783193969727,664188.8346875
21,581.4484744262695,657762.1821875
22,588.9321725463867,672211.1253125
23,568.3798486328125,633021.306875
24,534.4114727783203,584910.661875
25,564.1355554199218,633794.044375
26,560.0175210571289,632846.0321875
27,567.4301019287109,637498.6759375
28,562.7976354980469,635278.9315625
29,553.7512435913086,614231.34171875
30,559.4938320922852,628297.4359375
31,567.5322866821289,644850.3265625
32,532.6727529907226,586628.663125
33,528.0402597045899,578371.11828125
34,540.0825155639649,594788.95546875
35,521.9076452636718,563868.26609375
36,538.7856640625,588781.0915625
37,530.4136999511719,578574.27078125
38,504.3441638183594,543459.1846875
39,508.0753170776367,540247.58984375
40,499.19139190673826,523047.6828125
41,513.214903717041,556951.9165625
42,502.34090209960937,526398.6853125
43,493.50664672851565,523802.89
44,493.2730792236328,515014.83234375
45,490.7140130615234,518849.6840625
46,495.0181185913086,519709.2090625
47,482.8392602539063,505154.9278125
48,491.5690234375,514051.4946875
49,489.3534887695312,506682.47234375
50,488.9324792480469,507623.5096875
51,487.95847381591796,504493.95796875
52,480.8016802978516,496607.09734375
53,482.3008654785156,500002.62734375
54,463.43204833984373,474013.93984375
55,469.45106414794924,484101.68984375
56,466.6999578857422,476276.1290625
57,466.19611419677733,469606.3703125
58,455.0772128295898,452581.6784375
59,482.0035610961914,491325.18515625
60,466.5747611999512,471286.63375
61,454.3300762939453,452268.26609375
62,457.5868621826172,466117.640625
63,446.6951000976562,446306.48171875
64,423.115224609375,417520.9146875
65,437.2144149780273,436275.21203125
66,429.44844024658204,428308.765625
67,431.2210102844238,431794.22328125
68,417.35129974365236,408288.5796875
69,426.47395599365234,419264.5390625
70,432.9451005554199,431035.41984375
71,418.709429473877,408377.834765625
72,421.16407241821287,412071.94484375
73,432.92427154541014,421581.385625
74,402.7143603515625,381911.65453125
75,421.07586975097655,409719.86015625
76,406.3519120788574,387552.980546875
77,409.17523712158203,391864.70484375
78,407.4989309692383,388865.38921875
79,386.87493942260744,358137.28578125
80,398.0324041748047,371970.8246875
81,397.35497985839845,382875.10953125
82,383.0786340332031,353934.07765625
83,389.5489208984375,361183.24203125
84,374.21178131103517,342556.24640625
85,392.06451904296875,362768.0415625
86,383.3319482421875,357431.1478125
87,386.7901251220703,354901.19609375
88,384.8217733764648,361818.416171875
89,379.9777713012695,346836.0425
90,365.6063084411621,332811.008359375
91,366.7639030456543,332020.509375
92,360.1032084655762,325145.969921875
93,366.72729782104494,325091.8890625
94,371.69592437744143,336425.15
95,361.1331506347656,326391.252734375
96,358.35771209716796,315636.736328125
97,363.84119415283203,322910.31359375
98,362.9633184814453,321195.911015625
99,350.77786041259765,304240.342421875
100,350.40717880249025,307312.680625
101,338.34736251831055,286048.8353515625
102,341.63688018798825,295846.573671875
103,343.88725784301755,291285.3478125
104,349.15480438232424,298832.9375
105,323.31971649169924,270334.05875
106,359.3111912536621,316482.13796875
107,328.81258865356443,278182.24671875
108,333.5225337219238,278449.0146875
109,316.5669064331055,255202.540625
110,323.2235804748535,265270.26609375
111,339.29605545043944,282282.821953125
112,322.15735321044923,262026.879453125
113,332.3007005310059,277088.190390625
114,324.1308435058594,265312.890546875
115,313.55692016601563,249295.01328125
116,315.80255783081054,249974.856640625
117,310.9731672668457,246470.55734375
118,317.8650250244141,260517.958515625
119,319.0244300842285,255845.6402734375
120,300.39943450927734,235147.30703125
121,315.6205450439453,252703.372421875
122,309.0108686828613,243791.701640625
123,294.83378143310546,226032.9407421875
124,299.0047964477539,229815.286953125
125,308.2368089294434,243826.812734375
126,298.79770065307616,226085.839609375
127,308.1786848449707,241023.973046875
128,301.5932551574707,228888.805390625
129,287.76808197021484,214170.03859375
130,283.736229095459,209358.80671875
131,280.0791241455078,206872.9870703125
132,295.37625579833986,224873.19640625
133,291.34154205322267,216504.0977734375
134,287.1409393310547,212010.0030859375
135,277.04882446289065,198329.96984375
136,281.05325912475587,205893.4427734375
137,272.25942291259764,193670.9875
138,281.47962646484376,204971.2979296875
139,280.801436920166,202553.13296875
140,268.16787521362306,192107.989921875
141,269.23482818603514,191609.58390625
142,268.47194610595704,190496.2073828125
143,263.1521173095703,182460.267890625
144,266.24367446899413,185514.8697265625
145,268.7121754455566,187134.193828125
146,253.94602783203126,175149.963125
147,259.30253189086915,176305.7119921875
148,257.73969528198245,176898.8186328125
149,251.59290023803712,168508.0333203125
150,244.56072723388672,162285.8212109375
151,238.77009704589844,151424.8205078125
152,251.81495376586915,169460.933515625
153,248.64647766113282,164472.0998046875
154,243.08433517456055,156220.5625
155,241.3317140197754,154174.2991015625
156,238.88272354125976,153820.586328125
157,232.65154205322267,145697.4602734375
158,241.16236450195314,157837.148125
159,237.71546951293945,149078.17796875
160,233.74982139587402,147924.9442578125
161,228.8374464416504,142298.22783203126
162,242.16496932983398,154998.76453125
163,225.78967208862304,141656.7720703125
164,225.99753402709962,138451.413359375
165,242.6747509765625,152043.133125
166,239.86419876098634,150907.0370703125
167,233.81246643066407,148978.99953125
168,225.6948863220215,140651.7105859375
169,226.07862899780272,140149.5383203125
170,225.44077392578126,139666.806015625
171,221.29740997314454,136173.59046875
172,218.2356372833252,130799.4353125
173,221.61938041687011,140915.18572265626
174,215.75715675354004,132413.6334765625
175,208.3732908630371,122653.693125
176,218.23892753601075,132035.5440625
177,208.79545333862305,125311.696171875
178,211.934083404541,126094.2923828125
179,211.34072052001954,128002.8902734375
180,205.32551536560058,117841.2633203125
181,202.9799080657959,118661.18546875
182,199.7508071899414,112773.5874609375
183,203.6249737548828,118836.5709765625
184,208.26890823364258,120779.76703125
185,200.41813606262207,114392.9891796875
186,194.67647476196288,112546.395234375
187,195.90757881164552,109995.317734375
188,192.24071533203124,106035.22548828126
189,195.76498725891113,109058.292734375
190,192.97428298950194,108108.041328125
191,200.22140808105468,112259.9975
192,190.81032203674317,103069.900703125
193,189.47921417236327,100423.3788671875
194,195.15456619262696,109507.594765625
195,186.7580480194092,98289.0037109375
196,188.0485634613037,100998.045859375
197,195.23043251037598,107118.55064453125
198,182.7805638885498,97930.03904296875
199,181.19198959350587,91888.0570703125
200,188.10513572692872,103072.861015625
201,178.32805824279785,92096.9138671875
202,181.14994918823243,94818.2133984375
